"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"1","ARM",2017,1,0.75,0.75,0.75,0.731,0.25,0.25,0.25,0.269,0.558119658119658,0.558119658119658,0.666666666666667,0.470940170940171,"Armenia"
"2","ARM",2017,2,0.731,0.712,0.75,0.654,0.269,0.288,0.25,0.346,0.660683760683761,0.663247863247863,0.6,0.661538461538462,"Armenia"
"3","ARM",2017,3,0.75,0.769,0.75,0.654,0.25,0.231,0.25,0.346,0.558119658119658,0.555555555555556,0.666666666666667,0.68034188034188,"Armenia"
"4","ARM",2017,4,0.731,0.731,0.769,0.596,0.269,0.269,0.231,0.404,0.58034188034188,0.58034188034188,0.688888888888889,0.609401709401709,"Armenia"
"5","AUT",2017,1,0.5,0.455,0.091,0.455,0.5,0.545,0.909,0.545,0.9875,1.00833333333333,1.925,1.14583333333333,"Austria"
"6","AUT",2017,2,0.364,0.409,0.227,0.364,0.636,0.591,0.773,0.636,1.225,1.23333333333333,2.15416666666667,1.6125,"Austria"
"7","AUT",2017,3,0.409,0.318,0.182,0.227,0.591,0.682,0.818,0.773,1.51666666666667,1.8375,2.375,1.5625,"Austria"
"8","AUT",2017,4,0.273,0.273,0.136,0.136,0.727,0.727,0.864,0.864,1.42083333333333,1.63333333333333,2.4875,1.92916666666667,"Austria"
"9","BEL",2017,1,0.8,0.8,0.714,0.771,0.2,0.2,0.286,0.229,0.453571428571429,0.457142857142857,1.39642857142857,0.653571428571429,"Belgium"
"10","BEL",2017,2,0.8,0.8,0.629,0.743,0.2,0.2,0.371,0.257,0.664285714285714,0.664285714285714,1.55,1.06071428571429,"Belgium"
"11","BEL",2017,3,0.8,0.8,0.6,0.714,0.2,0.2,0.4,0.286,0.932142857142857,0.932142857142857,1.55714285714286,1.325,"Belgium"
"12","BEL",2017,4,0.771,0.771,0.6,0.714,0.229,0.229,0.4,0.286,1.325,1.325,1.55714285714286,1.39285714285714,"Belgium"
"13","CHE",2017,1,0.846,0.846,0.692,0.808,0.154,0.154,0.308,0.192,0.554761904761905,0.654761904761905,1.88333333333333,0.652380952380952,"Switzerland"
"14","CHE",2017,2,0.808,0.827,0.692,0.788,0.192,0.173,0.308,0.212,0.704761904761905,0.604761904761905,1.88809523809524,1.15714285714286,"Switzerland"
"15","CHE",2017,3,0.808,0.808,0.673,0.75,0.192,0.192,0.327,0.25,0.807142857142857,0.807142857142857,1.94047619047619,1.51428571428571,"Switzerland"
"16","CHE",2017,4,0.769,0.769,0.654,0.731,0.231,0.231,0.346,0.269,1.06428571428571,1.16428571428571,2.04285714285714,1.82380952380952,"Switzerland"
"17","CZE",2017,1,0.846,0.827,0.712,0.827,0.154,0.173,0.288,0.173,0.952380952380952,1.00238095238095,2.91666666666667,0.902380952380952,"Czech Republic"
"18","CZE",2017,2,0.827,0.827,0.712,0.769,0.173,0.173,0.288,0.231,1.00714285714286,1.20714285714286,2.96666666666667,1.5047619047619,"Czech Republic"
"19","CZE",2017,3,0.769,0.788,0.712,0.75,0.231,0.212,0.288,0.25,1.50952380952381,1.55952380952381,3.06666666666667,2.15952380952381,"Czech Republic"
"20","CZE",2017,4,0.731,0.731,0.712,0.75,0.269,0.269,0.288,0.25,2.21428571428571,2.26428571428571,3.06666666666667,2.61428571428571,"Czech Republic"
"21","DNK",2017,1,0.857,0.857,0.643,0.857,0.143,0.143,0.357,0.143,0.0719298245614035,0.0719298245614035,0.176315789473684,0.0719298245614035,"Denmark"
"22","DNK",2017,2,0.75,0.714,0.571,0.714,0.25,0.286,0.429,0.286,0.221929824561404,0.23859649122807,0.198245614035088,0.143859649122807,"Denmark"
"23","DNK",2017,3,0.786,0.75,0.536,0.607,0.214,0.25,0.464,0.393,0.17719298245614,0.210526315789474,0.236842105263158,0.204385964912281,"Denmark"
"24","DNK",2017,4,0.714,0.714,0.5,0.571,0.286,0.286,0.5,0.429,0.215789473684211,0.204385964912281,0.275438596491228,0.214912280701754,"Denmark"
"25","ESP",2017,1,0.786,0.75,0.5,0.643,0.214,0.25,0.5,0.357,0.255555555555556,0.330555555555556,1.81944444444444,0.605555555555556,"Spain"
"26","ESP",2017,2,0.679,0.643,0.429,0.607,0.321,0.357,0.571,0.393,0.597222222222222,0.605555555555556,2.06666666666667,1.11666666666667,"Spain"
"27","ESP",2017,3,0.643,0.643,0.429,0.536,0.357,0.357,0.571,0.464,0.594444444444444,0.619444444444444,1.825,1.63333333333333,"Spain"
"28","ESP",2017,4,0.571,0.607,0.357,0.536,0.429,0.393,0.643,0.464,0.944444444444444,0.861111111111111,1.81666666666667,1.78611111111111,"Spain"
"29","EST",2017,1,0.615,0.615,0.385,0.596,0.385,0.385,0.615,0.404,0.598319327731092,0.477535014005602,0.873949579831933,0.468319327731092,"Estonia"
"30","EST",2017,2,0.519,0.462,0.288,0.577,0.481,0.538,0.712,0.423,0.683893557422969,0.982324929971989,1.34843137254902,0.539579831932773,"Estonia"
"31","EST",2017,3,0.519,0.519,0.269,0.462,0.481,0.481,0.731,0.538,0.799299719887955,1.00803921568627,1.5236974789916,0.860252100840336,"Estonia"
"32","EST",2017,4,0.481,0.462,0.308,0.385,0.519,0.538,0.692,0.615,0.729299719887955,1.03313725490196,1.69543417366947,0.901512605042017,"Estonia"
"33","GEO",2017,1,0.848,0.739,0.435,0.957,0.152,0.261,0.565,0.043,0.113333333333333,0.0266666666666667,0.0577777777777778,0.102222222222222,"Georgia"
"34","GEO",2017,2,0.717,0.652,0.478,0.935,0.283,0.348,0.522,0.0649999999999999,0.0288888888888889,0.0355555555555556,0.0533333333333333,0.104444444444444,"Georgia"
"35","GEO",2017,3,0.739,0.674,0.5,0.913,0.261,0.326,0.5,0.087,0.0266666666666667,0.0333333333333333,0.0511111111111111,0.106666666666667,"Georgia"
"36","GEO",2017,4,0.696,0.63,0.543,0.891,0.304,0.37,0.457,0.109,0.0311111111111111,0.0377777777777778,0.0466666666666667,0.108888888888889,"Georgia"
"37","GRC",2017,1,0.712,0.712,0.385,0.75,0.288,0.288,0.615,0.25,0.6,0.661666666666667,2.75166666666667,0.65,"Greece"
"38","GRC",2017,2,0.635,0.615,0.385,0.577,0.365,0.385,0.615,0.423,1.29166666666667,1.315,2.775,1.17166666666667,"Greece"
"39","GRC",2017,3,0.635,0.596,0.404,0.481,0.365,0.404,0.596,0.519,1.67666666666667,1.73833333333333,2.76166666666667,1.55333333333333,"Greece"
"40","GRC",2017,4,0.615,0.596,0.404,0.462,0.385,0.404,0.596,0.538,1.73833333333333,1.78,2.75,1.75333333333333,"Greece"
"41","HRV",2017,1,0.769,0.692,0.5,0.731,0.231,0.308,0.5,0.269,1.17222222222222,1.23888888888889,2.33888888888889,1.13888888888889,"Croatia"
"42","HRV",2017,2,0.692,0.538,0.5,0.654,0.308,0.462,0.5,0.346,2.38333333333333,2.52222222222222,2.33888888888889,2.01666666666667,"Croatia"
"43","HRV",2017,3,0.577,0.538,0.5,0.577,0.423,0.462,0.5,0.423,3.41666666666667,3.48888888888889,2.33888888888889,2.6,"Croatia"
"44","HRV",2017,4,0.538,0.538,0.5,0.538,0.462,0.462,0.5,0.462,3.48888888888889,3.52777777777778,2.33888888888889,2.9,"Croatia"
"45","HUN",2017,1,0.643,0.643,0.571,0.643,0.357,0.357,0.429,0.357,1.65526315789474,1.65526315789474,3.18157894736842,1.50526315789474,"Hungary"
"46","HUN",2017,2,0.643,0.643,0.571,0.607,0.357,0.357,0.429,0.393,2.30526315789474,2.50526315789474,3.24210526315789,2.71578947368421,"Hungary"
"47","HUN",2017,3,0.643,0.643,0.536,0.571,0.357,0.357,0.464,0.429,3.35526315789474,3.60526315789474,3.29736842105263,3.38157894736842,"Hungary"
"48","HUN",2017,4,0.643,0.571,0.464,0.536,0.357,0.429,0.536,0.464,3.15526315789474,3.61578947368421,3.40263157894737,3.70789473684211,"Hungary"
"49","IRL",2017,1,0.904,0.846,0.769,0.904,0.096,0.154,0.231,0.096,0.264444444444444,0.288888888888889,0.813333333333333,0.362222222222222,"Ireland"
"50","IRL",2017,2,0.827,0.827,0.769,0.846,0.173,0.173,0.231,0.154,0.328888888888889,0.328888888888889,0.813333333333333,0.444444444444444,"Ireland"
"51","IRL",2017,3,0.827,0.808,0.769,0.808,0.173,0.192,0.231,0.192,0.333333333333333,0.373333333333333,0.813333333333333,0.566666666666667,"Ireland"
"52","IRL",2017,4,0.827,0.788,0.769,0.788,0.173,0.212,0.231,0.212,0.393333333333333,0.453333333333333,0.813333333333333,0.653333333333333,"Ireland"
"53","ISR",2017,1,0.885,0.885,0.731,0.865,0.115,0.115,0.269,0.135,0.492380952380952,0.464761904761905,0.866190476190476,0.292380952380952,"Israel"
"54","ISR",2017,2,0.827,0.808,0.731,0.788,0.173,0.192,0.269,0.212,0.729523809523809,0.82952380952381,0.865714285714286,0.504761904761905,"Israel"
"55","ISR",2017,3,0.769,0.769,0.731,0.769,0.231,0.231,0.269,0.231,1.06952380952381,1.06952380952381,0.95047619047619,0.567142857142857,"Israel"
