"Model","Year","Week_ahead","MZE","macroMAE"
"extending","2015","1-week",0.235115689005233,0.717858399337798
"extending","2016","1-week",0.245461851813309,0.491385193287862
"extending","2017","1-week",0.225534529143065,0.613756815925666
"extending","2015","2-week",0.269490896836674,0.915781776005543
"extending","2016","2-week",0.305948027475272,0.636917431349172
"extending","2017","2-week",0.287447135664847,0.86883260530942
"extending","2015","3-week",0.288893819647082,1.03128052975418
"extending","2016","3-week",0.323182729912865,0.704123288567569
"extending","2017","3-week",0.303454545773919,1.08998506646749
"extending","2015","4-week",0.285236518899763,1.18686922542645
"extending","2016","4-week",0.343155316955103,0.797410090983219
"extending","2017","4-week",0.306557740533124,1.19390280306865
"fix","2015","1-week",0.268491264017679,0.821293752657294
"fix","2016","1-week",0.276303927583215,0.512559007997413
"fix","2017","1-week",0.276100772096616,0.634869929731794
"fix","2015","2-week",0.303329987127096,0.986489251414619
"fix","2016","2-week",0.343402707200419,0.687032636560716
"fix","2017","2-week",0.333139702369242,0.944062739832233
"fix","2015","3-week",0.309905694446722,1.07912961496818
"fix","2016","3-week",0.36166652131764,0.800387720864074
"fix","2017","3-week",0.345947931278014,1.15665544691085
"fix","2015","4-week",0.318335761942326,1.2136088060213
"fix","2016","4-week",0.380371229664587,0.841060450826796
"fix","2017","4-week",0.362467273508674,1.23903350915145
