"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM",2015,1,"rolling",0.854,0.146,0.0857142857142857
"AUT",2015,1,"rolling",0.438,0.562,0.421428571428571
"BEL",2015,1,"rolling",0.83,0.17,1.51666666666667
"CHE",2015,1,"rolling",0.887,0.113,0.533333333333333
"CZE",2015,1,"rolling",0.83,0.17,0.9
"DNK",2015,1,"rolling",0.733,0.267,0.120526315789474
"EST",2015,1,"rolling",0.547,0.453,0.673962703962704
"ESP",2015,1,"rolling",0.793,0.207,0.916666666666667
"GEO",2015,1,"rolling",0.792,0.208,0.138690476190476
"GRC",2015,1,"rolling",0.618,0.382,2.22435897435897
"HRV",2015,1,"rolling",0.704,0.296,1.88333333333333
"HUN",2015,1,"rolling",0.833,0.167,0.683333333333333
"IRL",2015,1,"rolling",0.868,0.132,0.321428571428571
"ISR",2015,1,"rolling",0.849,0.151,0.277564102564103
"ITA",2015,1,"rolling",0.75,0.25,0.3
"KGZ",2015,1,"rolling",0.688,0.312,0.487669172932331
"LTU",2015,1,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,1,"rolling",0.69,0.31,1.06666666666667
"LVA",2015,1,"rolling",0.724,0.276,1.475
"MAR",2015,1,"rolling",0.942,0.0580000000000001,0.03
"MDA",2015,1,"rolling",0.962,0.038,0.0353333333333333
"MLT",2015,1,"rolling",0.957,0.043,0.8
"NLD",2015,1,"rolling",0.585,0.415,0.953787878787879
"NOR",2015,1,"rolling",0.483,0.517,2.05641025641026
"POL",2015,1,"rolling",0.66,0.34,0.329935897435897
"PRT",2015,1,"rolling",0.83,0.17,1.45
"ROU",2015,1,"rolling",0.938,0.0620000000000001,0.2
"SRB",2015,1,"rolling",0.696,0.304,0.152857142857143
"SVN",2015,1,"rolling",0.868,0.132,0.4425
"SVK",2015,1,"rolling",0.731,0.269,1.794
"TUR",2015,1,"rolling",0.625,0.375,0.333630952380952
"USA",2015,1,"rolling",0.849,0.151,0.224542483660131
"ARM",2016,1,"rolling",0.712,0.288,2.6
"AUT",2016,1,"rolling",0.588,0.412,0.75
"BEL",2016,1,"rolling",0.904,0.096,0.416666666666667
"CHE",2016,1,"rolling",0.865,0.135,0.208333333333333
"CZE",2016,1,"rolling",0.865,0.135,0.14047619047619
"DNK",2016,1,"rolling",0.786,0.214,0.297549019607843
"EST",2016,1,"rolling",0.654,0.346,0.693567251461988
"ESP",2016,1,"rolling",0.536,0.464,0.54
"GEO",2016,1,"rolling",0.761,0.239,0.0454166666666667
"GRC",2016,1,"rolling",0.8,0.2,0.266666666666667
"HRV",2016,1,"rolling",0.857,0.143,0.0666666666666667
"HUN",2016,1,"rolling",0.75,0.25,0.405
"IRL",2016,1,"rolling",0.865,0.135,0.17
"ISR",2016,1,"rolling",0.865,0.135,0.583333333333333
"ITA",2016,1,"rolling",0.545,0.455,0.481666666666667
"KGZ",2016,1,"rolling",0.48,0.52,2.18787878787879
"LTU",2016,1,"rolling",0.904,0.096,0.25
"LUX",2016,1,"rolling",0.643,0.357,0.72921568627451
"LVA",2016,1,"rolling",0.821,0.179,0.325
"MAR",2016,1,"rolling",0.915,0.085,0.11991452991453
"MDA",2016,1,"rolling",1,0,0
"MLT",2016,1,"rolling",0.815,0.185,0.279545454545455
"NLD",2016,1,"rolling",0.577,0.423,0.710795454545454
"NOR",2016,1,"rolling",0.357,0.643,0.606190476190476
"POL",2016,1,"rolling",0.717,0.283,0.330454545454545
"PRT",2016,1,"rolling",0.75,0.25,0.908333333333333
"ROU",2016,1,"rolling",0.865,0.135,0.102173913043478
"SRB",2016,1,"rolling",0.625,0.375,0.34
"SVN",2016,1,"rolling",0.865,0.135,0.406521739130435
"SVK",2016,1,"rolling",0.878,0.122,0.130075187969925
"TUR",2016,1,"rolling",0.867,0.133,0.15
"USA",2016,1,"rolling",0.712,0.288,0.482884615384615
"ARM",2017,1,"rolling",0.769,0.231,0.647008547008547
"AUT",2017,1,"rolling",0.545,0.455,1.22916666666667
"BEL",2017,1,"rolling",0.8,0.2,0.457142857142857
"CHE",2017,1,"rolling",0.865,0.135,0.454761904761905
"CZE",2017,1,"rolling",0.865,0.135,1.05238095238095
"DNK",2017,1,"rolling",0.857,0.143,0.0719298245614035
"EST",2017,1,"rolling",0.615,0.385,0.659103641456583
"ESP",2017,1,"rolling",0.786,0.214,0.280555555555556
"GEO",2017,1,"rolling",0.891,0.109,0.108888888888889
"GRC",2017,1,"rolling",0.769,0.231,0.471666666666667
"HRV",2017,1,"rolling",0.769,0.231,1.17777777777778
"HUN",2017,1,"rolling",0.679,0.321,1.95526315789474
"IRL",2017,1,"rolling",0.923,0.077,0.362222222222222
"ISR",2017,1,"rolling",0.942,0.0580000000000001,0.0423809523809524
"ITA",2017,1,"rolling",0.739,0.261,0.61
"KGZ",2017,1,"rolling",0.583,0.417,0.131428571428571
"LTU",2017,1,"rolling",0.914,0.086,0.45
"LUX",2017,1,"rolling",0.857,0.143,0.176190476190476
"LVA",2017,1,"rolling",0.821,0.179,0.533333333333333
"MAR",2017,1,"rolling",0.808,0.192,0.21421568627451
"MDA",2017,1,"rolling",1,0,0
"MLT",2017,1,"rolling",0.75,0.25,0.471428571428571
"NLD",2017,1,"rolling",0.558,0.442,0.98525641025641
